GridSpacing,Name,Type,ActualSizeUm,DwellTime,Fluence,NumPasses,OutputLaserEnergy,RepRate,ScanSpeed,Pre-DwellTime,Pre-Fluence,Pre-NumPasses,Pre-OutputLaserEnergy,Pre-RepRate,Pre-ScanSpeed,X,Y,Z,SpotSize,Pre-SpotSize
45,NIST612,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,31670.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,31670,-6813.232398,,
45,NIST612(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,31840.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,31840,-6813.232398,,
45,NIST612(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32010.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32010,-6813.232398,,
45,MK10,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,17718.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,17718.03632,-6386.353654,,
45,MK10(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,17888.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,17888.03632,-6386.353654,,
45,MK10(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,18058.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,18058.03632,-6386.353654,,
45,MK16,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,46378.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,46378.44339,-6336.188655,,
45,MK16(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,46548.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,46548.44339,-6336.188655,,
45,MK16(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,46718.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,46718.44339,-6336.188655,,
45,PB_T1,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,17872.69816,78774.49491,-5994.39991,150,150
,,,,,,,,,,,,,,,,17984.36244,79064.00927,-5994.39991,,
45,PB_T1(1),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,18072.69816,78694.49491,-5994.39991,150,150
,,,,,,,,,,,,,,,,18184.36244,78984.00927,-5994.39991,,
45,PB_T1(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,18272.69816,78614.49491,-5994.39991,150,150
,,,,,,,,,,,,,,,,18384.36244,78904.00927,-5994.39991,,
45,PB_T1(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,18472.69816,78534.49491,-5994.39991,150,150
,,,,,,,,,,,,,,,,18584.36244,78824.00927,-5994.39991,,
45,PB_T1(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,18672.69816,78454.49491,-5994.39991,150,150
,,,,,,,,,,,,,,,,18784.36244,78744.00927,-5994.39991,,
45,PB_T2,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,24475.34568,84670.07918,-5994.24116,150,150
,,,,,,,,,,,,,,,,24763.80005,84765.52739,-5994.24116,,
45,PB_T2(1),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,24591.55743,84489.57782,-5994.24116,150,150
,,,,,,,,,,,,,,,,24880.01181,84585.02603,-5994.24116,,
45,PB_T2(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,24693.84159,84336.93166,-5994.24116,150,150
,,,,,,,,,,,,,,,,24982.29597,84432.37987,-5994.24116,,
45,PB_T2(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,24797.00438,84172.41442,-5994.24116,150,150
,,,,,,,,,,,,,,,,25085.45875,84267.86263,-5994.24116,,
45,NIST612(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32180.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32180,-6813.232398,,
45,NIST612(5),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32350.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32350,-6813.232398,,
45,NIST612(6),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32520.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32520,-6813.232398,,
45,MK10(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,18228.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,18228.03632,-6386.353654,,
45,MK10(5),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,18398.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,18398.03632,-6386.353654,,
45,MK10(6),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,18568.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,18568.03632,-6386.353654,,
45,MK16(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,46888.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,46888.44339,-6336.188655,,
45,MK16(5),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47058.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47058.44339,-6336.188655,,
45,MK16(6),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47228.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47228.44339,-6336.188655,,
45,GPR,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,32978.39419,45244.78468,-6415.722404,150,150
,,,,,,,,,,,,,,,,33285.06692,45201.31112,-6415.722404,,
45,GPR(1),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,32992.44106,45421.85244,-6415.722404,150,150
,,,,,,,,,,,,,,,,33299.11379,45378.37888,-6415.722404,,
45,GPR(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,33003.79001,45596.22229,-6415.722404,150,150
,,,,,,,,,,,,,,,,33310.46274,45552.74872,-6415.722404,,
45,GPR(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,33012.44106,45765.19631,-6415.722404,150,150
,,,,,,,,,,,,,,,,33319.11379,45721.72275,-6415.722404,,
45,GPR(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,33017.04524,45946.31094,-6415.722404,150,150
,,,,,,,,,,,,,,,,33323.71797,45902.83738,-6415.722404,,
45,A,Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38056.97208,14150.5873,-6361.112404,150,150
,,,,,,,,,,,,,,,,38379.23675,14160.12176,-6361.112404,,
45,A(1),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38055.06518,14331.51838,-6361.112404,150,150
,,,,,,,,,,,,,,,,38377.32986,14341.05284,-6361.112404,,
45,A(2),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38051.2514,14525.79771,-6361.112404,150,150
,,,,,,,,,,,,,,,,38373.51607,14535.33217,-6361.112404,,
45,A(3),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38037.90316,14706.72879,-6361.112404,150,150
,,,,,,,,,,,,,,,,38360.16783,14716.26325,-6361.112404,,
45,A(4),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38020.74114,14929.61149,-6361.112404,150,150
,,,,,,,,,,,,,,,,38343.00581,14939.14595,-6361.112404,,
45,A(5),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,38020.74114,15127.7046,-6361.112404,150,150
,,,,,,,,,,,,,,,,38343.00581,15137.23906,-6361.112404,,
45,MK16(7),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47398.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47398.44339,-6336.188655,,
45,MK16(8),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47568.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47568.44339,-6336.188655,,
45,MK16(9),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,84008.13497,47738.59334,-6336.188655,150,150
,,,,,,,,,,,,,,,,84318.04886,47738.44339,-6336.188655,,
45,MK10(7),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,76975.66882,18738.18627,-6386.353654,150,150
,,,,,,,,,,,,,,,,77285.58271,18738.03632,-6386.353654,,
45,MK10(8),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,77511.50535,18391.41866,-6386.194904,150,150
,,,,,,,,,,,,,,,,77821.41924,18391.26871,-6386.194904,,
45,MK10(9),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,77511.50535,18561.41866,-6386.194904,150,150
,,,,,,,,,,,,,,,,77821.41924,18561.26871,-6386.194904,,
45,NIST612(7),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32690.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32690,-6813.232398,,
45,NIST612(8),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,32860.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,32860,-6813.232398,,
45,NIST612(9),Line,150,1,0.65,2,80,20,5,1,0,1,40,5,200,65333.08611,33030.14995,-6813.232398,150,150
,,,,,,,,,,,,,,,,65643,33030,-6813.232398,,
